Factura periodo,Fecha,Cliente,Segmento,Ciudad,Venta día,Venta día,Venta_num
FV164,10 de junio de 2026,"CLINICA DE OCCIDENTE, CALI",SALUD,CALI, $ 175.197 ,175197,175197
FV163,10 de junio de 2026,HOTELES B3 CORP. COLOMBIA,HOTEL,BOGOTA, $ 750.000 ,750000,750000
FV162,9 de junio de 2026,ADMIAREAS SAS,EMPRESA,BOGOTA, $ 950.000 ,950000,950000
FV161,9 de junio de 2026,CAJA DE COMPENSACION FAMILIAR COMPENSAR,CAJA DE COMPENSACION,, $ 12.130.473 ,12130473,12130473
FV160,9 de junio de 2026,COMPENSAR CAJICA,CAJA DE COMPENSACION,Bogotá, $ 1.250.000 ,1250000,1250000
FV159,9 de junio de 2026,CAJA DE COMPENSACION FAMILIAR COMPENSAR,CAJA DE COMPENSACION,, $ 10.278.780 ,10278780,10278780
FV158,9 de junio de 2026,COMPENSAR  FRONTERA QUIFA,CAJA DE COMPENSACION,Puerto Gaitán, $ 12.530.000 ,12530000,12530000
FV157,9 de junio de 2026,CAJA DE COMPENSACION FAMILIAR COMPENSAR,CAJA DE COMPENSACION,, $ 20.777.123 ,20777123,20777123
FV156,9 de junio de 2026,HOTEL ESTELAR RECINTO DEL PENSAMIENTO - MANIZALES,HOTEL,Manizales, $ 211.326 ,211326,211326
FV155,9 de junio de 2026,HOTEL ESTELAR EL CABLE ,HOTEL,Manizales, $ 123.789 ,123789,123789
FV154,9 de junio de 2026,HOTEL ESTELAR INTERCONTINENTAL CALI ,HOTEL,Cali, $ 355.761 ,355761,355761
FV153,9 de junio de 2026,HOTEL ESTELAR ALTAMIRA ,HOTEL,Ibague, $ 236.148 ,236148,236148
FV152,9 de junio de 2026,HOTEL ESTELAR PAIPA,HOTEL,, $ 247.672 ,247672,247672
FV151,9 de junio de 2026,HOTEL ESTELAR - YOPAL,HOTEL,Yopal, $ 243.417 ,243417,243417
FV150,9 de junio de 2026,HOTEL ESTELAR VILLAVICENCIO,HOTEL,Villavicencio, $ 355.761 ,355761,355761
FV149,9 de junio de 2026,HOTEL ESTELAR CARTAGENA DE INDIAS,HOTEL,Cartagena, $ 355.761 ,355761,355761
FV148,9 de junio de 2026,HOTEL ESTELAR SANTAMAR ,HOTEL,Santa Marta, $ 231.712 ,231712,231712
FV147,9 de junio de 2026,HOTEL ESTELAR MILLA DE ORO,HOTEL,Medellín, $ 201.285 ,201285,201285
FV146,9 de junio de 2026,HOTEL ESTELAR BLUE MEDELLIN,HOTEL,Medellín, $ 109.979 ,109979,109979
FV145,9 de junio de 2026,HOTELES ESTELAR SQUARE ,HOTEL,Medellín, $ 219.278 ,219278,219278
FV144,9 de junio de 2026,HOTEL ESTELAR ALTO PRADO,HOTEL,Barranquilla, $ 231.712 ,231712,231712
FV143,9 de junio de 2026,HOTEL ESTELAR CALLE 100 ,HOTEL,Bogotá, $ 127.148 ,127148,127148
FV142,9 de junio de 2026,HOTEL ESTELAR SUITES JONES ,HOTEL,Bogotá, $ 140.433 ,140433,140433
FV141,9 de junio de 2026,HOTEL ESTELAR PARQUE DE LA 93,HOTEL,Bogotá, $ 152.136 ,152136,152136
FV140,9 de junio de 2026,HOTEL ESTELAR LA FONTANA,HOTEL,Bogotá, $ 255.118 ,255118,255118
FV137,5 de junio de 2026,HOTEL NH COLLECTION ROYAL SMART SUITES BARRANQUILLA,HOTEL,Barranquilla, $ 686.447 ,686447,686447
FV136,5 de junio de 2026,HOTEL MOVICH -  BURO 26  - BOGOTA,HOTEL,Bogotá, $ 114.000 ,114000,114000
